flight,truth_gap_dist_km,truth_gap_co2_kg,truth_full_dist_km,truth_full_co2_kg,lstm_gap_dist_km,lstm_gap_dist_err_km,lstm_gap_co2_err_kg,lstm_full_dist_km,lstm_full_dist_err_km,lstm_full_co2_err_kg,great_circle_gap_dist_km,great_circle_gap_dist_err_km,great_circle_gap_co2_err_kg,great_circle_full_dist_km,great_circle_full_dist_err_km,great_circle_full_co2_err_kg,linear_gap_dist_km,linear_gap_dist_err_km,linear_gap_co2_err_kg,linear_full_dist_km,linear_full_dist_err_km,linear_full_co2_err_kg
04008b_1776697210,7373.038894782047,69896.4087225338,8653.430556708568,82034.52167759724,6704.546343489445,-668.492551292602,-6337.309386253867,8133.961948286222,-519.4686084223467,-4924.562407843847,5521.099654368891,-1851.9392404131559,-17556.38399911672,8022.831141812125,-630.5994148964437,-5978.082453218287,5659.603584804085,-1713.4353099779619,-16243.36673859108,8183.461000264485,-469.96955644408354,-4455.311395089912
04012a_1776715285,454.83753149810303,4311.859798602017,6153.145727301363,58331.821494816926,460.20126756779206,5.3637360696890255,50.84821794065196,6156.2147742914885,3.069046990125571,29.094565466390414,382.9094438476503,-71.92808765045271,-681.8782709262917,6152.734270466145,-0.4114568352179049,-3.9006107978657383,382.98361868206496,-71.85391281603808,-681.175093496041,6152.820644620027,-0.3250826813355161,-3.0817838190606928
040133_1776735796,1.6438906633711212,15.58408348875823,1569.9938902873039,14883.542079923642,7.113870199827293,5.469979536456171,51.85540600560451,1569.9668095507766,-0.027080736527295812,-0.2567253822787643,7.089423826806138,5.445533163435017,51.62365438936396,1569.9610904896622,-0.032799797641700934,-0.3109420816433249,7.089424352835394,5.4455336894642725,51.6236593761213,1569.961091099392,-0.03279918791190539,-0.3109363014048631
040133_1776748746,20.473324703576246,194.0871181899028,780.6963872560433,7401.001751187291,18.241907615545806,-2.2314170880304403,-21.153833994528576,781.0363787875161,0.33999153147283323,3.2231197183624594,17.062161086228965,-3.411163617347281,-32.33783109245223,780.6905098388842,-0.005877417159126708,-0.05571791466852119,17.062169505723418,-3.4111551978528283,-32.33775127564481,780.690520057021,-0.005867199022304703,-0.05562104673144859
04014c_1776731954,48.661494314945124,461.31096610567977,1551.965678638185,14712.634633489994,47.60903693510065,-1.0524573798444763,-9.977295960925636,1551.9668754821218,0.0011968439368956751,0.011346080521771001,47.61802951053084,-1.0434648044142847,-9.892046345847419,1551.9644232820956,-0.0012553560893593385,-0.01190077572712653,47.61819306764337,-1.0433012473017556,-9.890495824420643,1551.9646121820674,-0.0010664561175417475,-0.010110003994295767
04014d_1776736547,62.04060467218195,588.1449322922849,2685.859929305935,25461.952129820267,60.517089048474496,-1.5235156237074534,-14.442928112746658,2687.5986441181285,1.7387148121933933,16.48301641959337,51.530554897380114,-10.510049774801836,-99.63527186512141,2685.845830742939,-0.014098562995968678,-0.13365437720178308,51.53088232685035,-10.509722345331596,-99.63216783374354,2685.846220035334,-0.013709270600884338,-0.12996388529638353
04015c_1776738832,17.80103179398893,168.75378140701505,5717.576837516066,54202.628419652305,15.799812871760986,-2.0012189222279435,-18.971555382720904,5717.571955510901,-0.004882005165200098,-0.046281408966096935,15.868387280493796,-1.9326445134951342,-18.321469987933874,5717.568527547033,-0.008309969032779918,-0.07877850643075363,15.86838908885036,-1.9326427051385693,-18.321452844713637,5717.568529669986,-0.008307846080242598,-0.07875838084069983
04015c_1776776594,116.6971789538172,1106.289256482187,2517.082226987215,23861.939511838802,109.17696843497009,-7.520210518847108,-71.29159571867059,2517.082446568158,0.00021958094293950126,0.002081627339066472,98.859387273058,-17.837791680759196,-169.10226513359717,2516.888477307025,-0.19374968019019434,-1.8367469682030424,98.85986433861478,-17.837314615202416,-169.09774255211892,2516.8890722613532,-0.19315472586185933,-1.8311068011704266
040171_1776750403,15.997406170732344,151.65541049854264,305.75032472216515,2898.5130783661257,14.6780534558828,-1.3193527148495434,-12.507463736773673,305.77972558442434,0.029400862259194582,0.27872017421716466,14.684217175121391,-1.3131889956109521,-12.449031678391828,305.73116046392346,-0.01916425824168755,-0.18167716813119797,14.684221944264086,-1.3131842264682572,-12.448986466919079,305.7311661789354,-0.01915854322976429,-0.1816229898181655
04018f_1776720224,7.41868425717456,70.32912675801482,6280.037540942839,59534.75588813811,6.815421166729717,-0.6032630904448428,-5.71893409741711,6280.048244903137,0.010703960298087623,0.10147354362587066,6.79899128261163,-0.6196929745629296,-5.874689398856573,6280.037483755753,-5.7187085985788144e-05,-0.0005421335751452717,6.798991551576074,-0.619692705598486,-5.8746868490736475,6280.03748408236,-5.686047916242387e-05,-0.0005390373424597783
